state,percentile,income
Terengganu,1,1795
Terengganu,2,2308
Terengganu,3,2619
Terengganu,4,2766
Terengganu,5,2910
Terengganu,6,2997
Terengganu,7,3087
Terengganu,8,3166
Terengganu,9,3245
Terengganu,10,3309
Terengganu,11,3390
Terengganu,12,3459
Terengganu,13,3552
Terengganu,14,3612
Terengganu,15,3673
Terengganu,16,3757
Terengganu,17,3842
Terengganu,18,3922
Terengganu,19,4009
Terengganu,20,4088
Terengganu,21,4174
Terengganu,22,4252
Terengganu,23,4342
Terengganu,24,4403
Terengganu,25,4490
Terengganu,26,4545
Terengganu,27,4624
Terengganu,28,4739
Terengganu,29,4838
Terengganu,30,4926
Terengganu,31,4996
Terengganu,32,5084
Terengganu,33,5159
Terengganu,34,5230
Terengganu,35,5317
Terengganu,36,5396
Terengganu,37,5497
Terengganu,38,5639
Terengganu,39,5753
Terengganu,40,5847
Terengganu,41,5928
Terengganu,42,6032
Terengganu,43,6123
Terengganu,44,6192
Terengganu,45,6268
Terengganu,46,6331
Terengganu,47,6381
Terengganu,48,6450
Terengganu,49,6524
Terengganu,50,6592
Terengganu,51,6684
Terengganu,52,6754
Terengganu,53,6829
Terengganu,54,6896
Terengganu,55,6976
Terengganu,56,7051
Terengganu,57,7127
Terengganu,58,7187
Terengganu,59,7261
Terengganu,60,7315
Terengganu,61,7403
Terengganu,62,7469
Terengganu,63,7580
Terengganu,64,7686
Terengganu,65,7755
Terengganu,66,7851
Terengganu,67,7934
Terengganu,68,8029
Terengganu,69,8171
Terengganu,70,8282
Terengganu,71,8379
Terengganu,72,8505
Terengganu,73,8686
Terengganu,74,8819
Terengganu,75,8954
Terengganu,76,9068
Terengganu,77,9190
Terengganu,78,9366
Terengganu,79,9550
Terengganu,80,9704
Terengganu,81,9866
Terengganu,82,10040
Terengganu,83,10323
Terengganu,84,10542
Terengganu,85,10786
Terengganu,86,11156
Terengganu,87,11566
Terengganu,88,12079
Terengganu,89,12727
Terengganu,90,13211
Terengganu,91,13528
Terengganu,92,13947
Terengganu,93,14697
Terengganu,94,15549
Terengganu,95,16516
W.P. Kuala Lumpur,1,2124
W.P. Kuala Lumpur,2,3012
W.P. Kuala Lumpur,3,3409
W.P. Kuala Lumpur,4,3672
W.P. Kuala Lumpur,5,3864
W.P. Kuala Lumpur,6,4063
W.P. Kuala Lumpur,7,4223
W.P. Kuala Lumpur,8,4517
W.P. Kuala Lumpur,9,4744
W.P. Kuala Lumpur,10,4970
W.P. Kuala Lumpur,11,5190
W.P. Kuala Lumpur,12,5380
W.P. Kuala Lumpur,13,5553
W.P. Kuala Lumpur,14,5682
W.P. Kuala Lumpur,15,5810
W.P. Kuala Lumpur,16,5919
W.P. Kuala Lumpur,17,6347
W.P. Kuala Lumpur,18,6498
W.P. Kuala Lumpur,19,6630
W.P. Kuala Lumpur,20,6708
W.P. Kuala Lumpur,21,6778
W.P. Kuala Lumpur,22,6858
W.P. Kuala Lumpur,23,6947
W.P. Kuala Lumpur,24,7006
W.P. Kuala Lumpur,25,7458
W.P. Kuala Lumpur,26,7580
W.P. Kuala Lumpur,27,7678
W.P. Kuala Lumpur,28,7752
W.P. Kuala Lumpur,29,7826
W.P. Kuala Lumpur,30,7909
W.P. Kuala Lumpur,31,8001
W.P. Kuala Lumpur,32,8488
W.P. Kuala Lumpur,33,8642
W.P. Kuala Lumpur,34,8781
